"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Serbia,"25,34,036",,"18,018",,"25,06,652",,"9,366",13,"2,92,850","2,082","1,27,82,645","14,77,247","86,53,016"
Iraq,"24,65,545",,"25,375",,"24,39,497",,673,21,"58,474",602,"1,95,44,451","4,63,523","4,21,64,965"
Singapore,"23,40,779",,"1,727",,"21,49,583",,"1,89,469",2,"3,93,835",291,"2,47,56,666","41,65,302","59,43,546"
New Zealand,"23,13,064",,"4,119",,"22,97,967",,"10,978",,"4,72,227",841,"77,68,604","15,86,011","48,98,203"
Hungary,"22,01,355",,"48,846",,"21,48,647",,"3,862",13,"2,29,158","5,085","1,13,94,556","11,86,160","96,06,259"
Bangladesh,"20,38,174",,"29,446",,"19,98,448",,"10,280",N/A,"12,140",175,"1,52,54,399","90,862","16,78,85,689"
Slovakia,"18,66,312",,"21,167",,"18,44,814",13,331,22,"3,41,803","3,877","74,25,402","13,59,916","54,60,193"
Georgia,"18,38,936",,"17,049",,"17,76,548",,"45,339",,"4,63,355","4,296","1,69,20,079","42,63,340","39,68,738"
Jordan,"17,46,997",,"14,122",,"17,31,007",,"1,868",59,"1,69,597","1,371","1,72,01,885","16,69,945","1,03,00,869"
Ireland,"17,09,705",,"8,824",,"16,98,797",155,"2,084",19,"3,40,565","1,758","1,30,83,449","26,06,161","50,20,199"
Pakistan,"15,80,684",37,"30,657",,"15,38,689",,"11,338",7,"6,888",134,"3,05,71,377","1,33,215","22,94,88,994"
Norway,"14,83,140",,"5,213",,"14,76,767",,"1,160",20,"2,69,106",946,"1,10,02,430","19,96,315","55,11,370"
Finland,"14,73,603",,"9,308",,"14,58,831",356,"5,464",21,"2,65,277","1,676","1,20,69,254","21,72,699","55,54,960"
Kazakhstan,"14,11,559",62,"13,848",,"13,83,020",,"14,691",24,"73,499",721,"1,15,75,012","6,02,707","1,92,05,043"
Slovenia,"13,43,202",,"7,100",,"13,28,006",,"8,096",8,"6,46,381","3,417","28,47,701","13,70,382","20,78,034"
Lithuania,"13,18,372",,"9,665",,"13,06,389",,"2,318",3,"4,95,311","3,631","1,04,36,425","39,20,950","26,61,708"
Bulgaria,"13,04,280",,"38,327",,"12,63,053",,"2,900",43,"1,90,556","5,600","1,11,79,933","16,33,395","68,44,597"
Morocco,"12,73,130",,"16,297",,"12,56,151",,682,3,"33,705",431,"1,30,01,033","3,44,191","3,77,72,756"
Croatia,"12,72,377",,"18,155",,"12,53,558",,664,4,"3,13,448","4,472","55,75,343","13,73,479","40,59,286"
Guatemala,"12,48,171",,"20,189",,"12,26,839",,"1,143",5,"67,164","1,086","72,13,379","3,88,149","1,85,84,039"
Lebanon,"12,36,631",,"10,900",,"10,87,587",,"1,38,144",74,"1,84,990","1,631","47,95,578","7,17,380","66,84,849"
Costa Rica,"12,27,546",,"9,339",,"8,60,711",,"3,57,496",52,"2,36,870","1,802","46,59,757","8,99,158","51,82,354"
Bolivia,"11,97,151",,"22,377",,"11,66,111",,"8,663",220,"99,824","1,866","27,05,422","2,25,590","1,19,92,656"
Tunisia,"11,52,612",,"29,387",,N/A,N/A,N/A,44,"95,679","2,439","50,09,562","4,15,847","1,20,46,656"
Cuba,"11,13,240",,"8,530",,"11,04,574",,136,2,"98,468",754,"1,43,45,279","12,68,859","1,13,05,652"
UAE,"10,62,321",,"2,349",,"10,45,595",,"14,377",,"1,05,370",233,"20,03,09,593","1,98,68,465","1,00,81,785"
Ecuador,"10,61,100",,"36,019",,"10,23,510",,"1,571",759,"58,581","1,989","30,82,403","1,70,173","1,81,13,361"
Uruguay,"10,37,893",,"7,625",,"10,29,835",,433,18,"2,96,879","2,181","61,14,822","17,49,083","34,96,016"
Panama,"10,36,733",,"8,621",,"10,27,554",,558,16,"2,33,133","1,939","76,36,393","17,17,215","44,46,964"
Mongolia,"10,07,993",,"2,179",,"10,05,764",,50,192,"2,98,392",645,"40,30,048","11,93,000","33,78,078"
Nepal,"10,02,919",,"12,029",,"9,90,515",,375,,"33,181",398,"60,34,506","1,99,649","3,02,25,582"
Belarus,"9,94,037",,"7,118",,"9,85,592",,"1,327",,"1,05,381",755,"1,36,46,641","14,46,722","94,32,800"
Latvia,"9,77,612",,"6,321",,"9,70,953",,338,13,"5,28,771","3,419","78,73,394","42,58,566","18,48,837"
Saudi Arabia,"8,40,200",,"9,642",,"8,26,851",,"3,707",70,"23,440",269,"4,54,36,828","12,67,595","3,58,44,909"
Azerbaijan,"8,31,316",,"10,238",,"8,20,834",,244,,"80,709",994,"75,88,338","7,36,717","1,03,00,205"
Paraguay,"8,09,489",,"19,913",,N/A,N/A,N/A,7,"1,10,800","2,726","26,57,506","3,63,751","73,05,843"
Bahrain,"7,19,799",,"1,562",,"7,17,791",,446,1,"4,03,479",876,"1,08,28,068","60,69,603","17,83,983"
Sri Lanka,"6,72,153",,"16,841",,"6,55,294",,18,,"31,153",781,"64,86,117","3,00,619","2,15,75,842"
Kuwait,"6,65,741",,"2,570",,"6,60,237",,"2,934",,"1,51,984",587,"84,55,743","19,30,391","43,80,326"
Dominican Republic,"6,61,008",,"4,384",,"6,44,785",,"11,839",4,"59,785",397,"37,40,928","3,38,350","1,10,56,370"
Cyprus,"6,58,450",,"1,354",,"6,55,550",,"1,546",60,"5,38,219","1,107","96,40,118","78,79,860","12,23,387"
Myanmar,"6,34,676",,"19,491",,"6,14,778",,407,,"11,492",353,"1,03,40,364","1,87,233","5,52,27,143"
Palestine,"6,21,008",,"5,404",,"6,15,445",,159,17,"1,16,173","1,011","30,78,533","5,75,907","53,45,541"
Moldova,"6,20,253",,"12,112",,"5,04,142",,"1,03,999",49,"1,54,554","3,018","32,16,305","8,01,437","40,13,171"
Estonia,"6,17,917",,"3,001",,"5,24,990",,"89,926",3,"4,67,443","2,270","37,03,808","28,01,861","13,21,910"
Venezuela,"5,52,606",,"5,856",,"5,46,484",,266,31,"18,882",200,"33,59,014","1,14,771","2,92,66,991"
Egypt,"5,15,970",,"24,613",,"4,42,182",,"49,175",122,"4,860",232,"36,93,367","34,792","10,61,56,692"
Libya,"5,07,250",,"6,437",,"5,00,807",,6,,"72,045",914,"24,83,848","3,52,782","70,40,745"
Qatar,"5,06,323",,690,,"5,04,400",,"1,233",44,"1,69,912",232,"40,65,369","13,64,257","29,79,915"
China,"5,03,302",,"5,272",,"3,79,053",,"1,18,977",N/A,347,4,"16,00,00,000","1,10,461","1,44,84,71,400"
Ethiopia,"5,00,817",,"7,574",,"4,87,936",,"5,307",1,"4,145",63,"55,38,219","45,841","12,08,12,698"
Réunion,"4,86,588",,921,,"4,18,572",,"67,095",10,"5,35,854","1,014","16,03,660","17,66,027","9,08,061"
Honduras,"4,72,533",,"11,112",,N/A,N/A,N/A,105,"46,230","1,087","16,52,947","1,61,717","1,02,21,247"
Armenia,"4,48,980",,"8,746",,"4,35,162",,"5,072",,"1,51,072","2,943","32,42,901","10,91,164","29,71,966"
Bosnia and Herzegovina,"4,02,804",,"16,336",,"3,79,084",,"7,384",,"1,23,966","5,028","18,84,721","5,80,036","32,49,317"
Oman,"3,99,449",,"4,628",,"3,84,669",,"10,152",2,"75,028",869,"2,50,00,000","46,95,724","53,23,993"
North Macedonia,"3,48,057",,"9,672",,"3,37,068",,"1,317",,"1,67,230","4,647","22,26,216","10,69,626","20,81,304"
Zambia,"3,43,901",,"4,058",,"3,39,777",,66,,"17,663",208,"40,30,148","2,06,990","1,94,70,234"
Kenya,"3,43,035",,"5,688",,"3,37,305",,42,1,"6,102",101,"39,67,062","70,569","5,62,15,221"
Albania,"3,34,726",,"3,602",,"3,29,428",,"1,696",,"1,16,777","1,257","19,41,032","6,77,173","28,66,374"
Botswana,"3,29,847",,"2,801",,"3,27,046",,0,1,"1,35,119","1,147","20,26,898","8,30,300","24,41,162"
Luxembourg,"2,97,757",,"1,133",,"2,88,991",,"7,633",,"4,63,528","1,764","44,12,567","68,69,188","6,42,371"
Montenegro,"2,91,405",,"2,824",,"2,87,936",,645,6,"4,64,058","4,497","27,47,497","43,75,344","6,27,950"
Brunei,"2,85,740",,225,,"2,43,601",,"41,914",3,"6,41,491",505,"7,17,784","16,11,437","4,45,431"
Algeria,"2,71,707",,"6,881",,"1,82,952",,"81,874",,"5,991",152,"2,30,861","5,091","4,53,50,148"
Nigeria,"2,66,675",,"3,155",,"2,59,953",,"3,567",11,"1,230",15,"57,08,974","26,339","21,67,46,934"
Zimbabwe,"2,64,639",,"5,686",,"2,58,888",,65,12,"17,261",371,"25,25,756","1,64,744","1,53,31,428"
Uzbekistan,"2,52,725",,"1,637",,"2,41,486",,"9,602",23,"7,350",48,"13,77,915","40,077","3,43,82,084"
Mozambique,"2,33,334",,"2,242",,"2,28,805",,"2,287",11,"7,052",68,"13,71,127","41,437","3,30,89,461"
Martinique,"2,29,807",,"1,098",,N/A,N/A,N/A,12,"6,14,314","2,935","8,28,928","22,15,870","3,74,087"
Laos,"2,18,077",1,758,,N/A,N/A,N/A,,"29,151",101,"12,33,207","1,64,845","74,81,023"
Afghanistan,"2,14,763",,"7,896",,"1,93,487",,"13,380",45,"5,270",194,"12,32,539","30,243","4,07,54,388"
Iceland,"2,09,191",,229,,N/A,N/A,N/A,2,"6,05,661",663,"19,96,384","57,80,036","3,45,393"
Kyrgyzstan,"2,06,876",,"2,991",,"1,96,406",,"7,479",131,"30,747",445,"19,07,195","2,83,460","67,28,271"
Guadeloupe,"2,02,482",,"1,017",,N/A,N/A,N/A,19,"5,06,466","2,544","9,38,039","23,46,306","3,99,794"
El Salvador,"2,01,785",,"4,230",,"1,79,410",,"18,145",8,"30,805",646,"26,10,114","3,98,467","65,50,389"
Trinidad and Tobago,"1,91,350",,"4,387",,"1,86,918",,45,8,"1,36,039","3,119","9,11,009","6,47,674","14,06,585"
Maldives,"1,86,241",,313,,"1,63,687",,"22,241",25,"3,44,263",579,"22,13,831","40,92,223","5,40,985"
Ghana,"1,71,657",,"1,462",,"1,70,161",,34,2,"5,299",45,"25,36,496","78,298","3,23,95,450"
Namibia,"1,71,222",,"4,090",,"1,67,099",,33,,"65,008","1,553","10,62,663","4,03,460","26,33,874"
Uganda,"1,70,647",,"3,632",,"1,00,431",,"66,584",3,"3,523",75,"30,12,408","62,198","4,84,32,863"
Jamaica,"1,54,786",,"3,536",,"1,02,803",,"48,447",,"51,853","1,185","11,83,986","3,96,633","29,85,094"
Cambodia,"1,38,732",,"3,056",,"1,35,672",,4,,"8,081",178,"30,91,420","1,80,062","1,71,68,639"
Rwanda,"1,33,194",,"1,468",,"1,31,647",,79,,"9,793",108,"60,21,981","4,42,778","1,36,00,464"
Cameroon,"1,24,895",,"1,971",,"1,22,807",,117,13,"4,475",71,"17,51,774","62,762","2,79,11,548"
Malta,"1,18,441",,835,,"1,16,962",,644,4,"2,66,739","1,880","21,33,928","48,05,787","4,44,033"
Barbados,"1,07,466",,588,,"1,06,869",,9,,"3,73,116","2,042","8,00,831","27,80,441","2,88,023"
Angola,"1,05,384",,"1,934",,"1,03,419",,31,,"3,009",55,"14,99,795","42,818","3,50,27,343"
Channel Islands,"1,01,717",,228,,"1,01,321",,168,,"5,76,421","1,292","12,52,808","70,99,551","1,76,463"
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"3,12,065","1,337","6,51,257","20,72,951","3,14,169"
DRC,"95,945",,"1,464",,"84,489",,"9,992",,"1,007",15,"8,46,704","8,890","9,52,40,792"
Senegal,"88,995",,"1,971",,"87,022",,2,,"5,041",112,"11,46,543","64,946","1,76,53,671"
Malawi,"88,722",,"2,686",,"85,644",,392,67,"4,396",133,"6,24,784","30,959","2,01,80,839"
Ivory Coast,"88,323",,834,,"87,485",,4,,"3,184",30,"16,89,184","60,888","2,77,42,298"
Suriname,"82,495",,"1,404",,N/A,N/A,N/A,,"1,38,222","2,352","2,41,666","4,04,915","5,96,831"
New Caledonia,"79,922",,314,,"79,605",,3,9,"2,74,726","1,079","98,964","3,40,182","2,90,915"
French Polynesia,"78,417",,649,,N/A,N/A,N/A,7,"2,75,957","2,284",,,"2,84,164"
Eswatini,"74,627",,"1,425",,"73,116",,86,,"62,986","1,203","10,48,704","8,85,119","11,84,817"
Guyana,"73,162",,"1,298",,"71,824",,40,,"92,138","1,635","7,28,633","9,17,622","7,94,045"
Belize,"70,782",,688,,"70,085",,9,6,"1,71,722","1,669","5,76,016","13,97,453","4,12,190"
Fiji,"68,921",,883,,"67,029",,"1,009",,"75,782",971,"6,70,903","7,37,689","9,09,466"
Madagascar,"68,211",,"1,424",,"66,753",,34,,"2,338",49,"5,30,005","18,164","2,91,78,077"
Sudan,"63,993",,"5,046",,"58,640",,307,,"1,391",110,"5,62,941","12,240","4,59,92,020"
Mauritania,"63,715",,997,,"62,471",,247,,"12,998",203,"10,09,957","2,06,030","49,01,981"
Cabo Verde,"63,467",,413,,"62,892",,162,23,"1,11,801",728,"4,01,622","7,07,482","5,67,678"
Bhutan,"62,663",,21,,"61,564",,"1,078",,"79,528",27,"23,03,734","29,23,739","7,87,941"
Syria,"57,508",,"3,164",,"54,344",,0,,"2,970",163,"1,46,269","7,553","1,93,64,809"
Burundi,"53,731",,38,,"53,569",,124,,"4,256",3,"3,45,742","27,386","1,26,24,840"
Seychelles,"50,937",,172,,"50,750",,15,,"5,12,311","1,730",,,"99,426"
Gabon,"48,981",,306,,"48,674",,1,,"21,008",131,"16,21,909","6,95,641","23,31,533"
Andorra,"47,945",,165,,"47,563",,217,14,"6,18,941","2,130","2,49,838","32,25,256","77,463"
Papua New Guinea,"46,838",,670,,"43,982",,"2,186",7,"5,041",72,"2,49,149","26,813","92,92,169"
Curaçao,"45,986",,295,,"44,720",,971,3,"2,77,812","1,782","4,96,693","30,00,640","1,65,529"
Aruba,"44,114",,236,,"42,438",,"1,440",2,"4,09,947","2,193","1,77,885","16,53,068","1,07,609"
Tanzania,"42,973",,846,,N/A,N/A,N/A,7,679,13,,,"6,32,98,550"
Mauritius,"42,152",,"1,045",,"40,357",,750,,"33,067",820,"3,58,675","2,81,374","12,74,727"
Mayotte,"42,027",,188,,N/A,N/A,N/A,,"1,46,815",657,"1,76,919","6,18,038","2,86,259"
Togo,"39,483",,290,,"39,178",,15,,"4,548",33,"8,10,887","93,411","86,80,837"
Guinea,"38,462",,467,,"37,757",,238,8,"2,774",34,"6,60,107","47,607","1,38,65,691"
Bahamas,"38,084",,844,,"36,366",,874,1,"95,087","2,107","2,57,839","6,43,767","4,00,516"
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"4,43,335","1,353","1,50,753","17,58,422","85,732"
Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"4,31,221","1,98,199","21,75,699"
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"7,03,959",569,"7,78,000","1,58,02,409","49,233"
Haiti,"34,228",,860,,"33,342",,26,,"2,930",74,"1,32,422","11,337","1,16,80,283"
Mali,"33,144",,743,,"32,321",,80,,"1,543",35,"8,03,224","37,405","2,14,73,764"
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"4,67,797",550,"2,22,773","33,11,280","67,277"
Saint Lucia,"30,052",,409,,"29,095",,548,,"1,62,344","2,209","2,10,983","11,39,752","1,85,113"
Benin,"28,014",,163,,"27,847",,4,,"2,191",13,"6,04,310","47,268","1,27,84,726"
Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"1,623",81,"4,00,466","23,778","1,68,41,795"
Micronesia,"26,080",,65,,N/A,N/A,N/A,1,"2,21,978",553,"81,349","6,92,397","1,17,489"
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"3,47,815","59,991","57,97,805"
Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"7,21,159"
San Marino,"24,069",,125,,"23,868",,76,4,"7,06,146","3,667","1,96,855","57,75,414","34,085"
Timor-Leste,"23,428",,138,,"23,102",,188,,"17,108",101,"2,78,529","2,03,391","13,69,429"
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"2,48,995","11,265","2,21,02,838"
Liechtenstein,"21,437",,91,,"21,345",,1,,"5,58,444","2,371","1,12,457","29,29,559","38,387"
Gibraltar,"20,550",,113,,"16,579",,"3,858",,"6,09,720","3,353","5,34,283","1,58,52,213","33,704"
Grenada,"19,693",,238,,"19,358",,97,4,"1,73,545","2,097","1,82,981","16,12,523","1,13,475"
Bermuda,"18,860",,165,,"18,685",,10,,"3,04,493","2,664","10,29,558","1,66,22,128","61,939"
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"67,79,100"
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"4,10,280","35,313","1,16,18,511"
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"99,57,464"
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"3,65,697","2,44,342","14,96,662"
Tonga,"16,814",,13,,"15,638",,"1,163",,"1,56,048",121,"5,35,009","49,65,327","1,07,749"
Samoa,"16,737",,31,,"1,605",,"15,101",,"82,759",153,"1,87,397","9,26,612","2,02,239"
Monaco,"16,178",,67,,"15,992",,119,4,"4,06,656","1,684","78,646","19,76,875","39,783"
Marshall Islands,"16,081",,17,,"15,954",,110,,"2,67,762",283,,,"60,057"
Dominica,"15,760",,74,,"15,673",,13,,"2,17,848","1,023","2,29,344","31,70,187","72,344"
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"3,05,941","3,01,094","10,16,097"
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","50,16,678"
Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"1,55,686","60,851","25,58,482"
Saint Martin,"12,293",,63,,"1,399",,"10,831",7,"3,09,414","1,586","1,12,382","28,28,643","39,730"
Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","3,21,832"
Greenland,"11,971",,21,,"2,761",,"9,189",4,"2,10,117",369,"1,64,926","28,94,810","56,973"
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"3,29,592","10,579","3,11,54,867"
Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"4,38,398","1,426","30,126","11,30,559","26,647"
Sint Maarten,"11,030",,92,,"10,905",,33,N/A,"2,50,876","2,093","62,056","14,11,454","43,966"
Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","36,62,244"
Niger,"9,931",,312,,"8,890",,729,1,381,12,"2,54,538","9,759","2,60,83,660"
St. Vincent Grenadines,"9,611",,124,,"9,480",,7,,"86,158","1,112","1,14,024","10,22,169","1,11,551"
Guinea-Bissau,"9,350",,176,,"8,929",,245,6,"4,531",85,"1,45,231","70,385","20,63,367"
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","1,89,943","99,509"
Comoros,"9,105",,161,,"8,939",,5,,"10,034",177,,,"9,07,419"
Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"1,39,824","26,356","53,05,117"
Sierra Leone,"7,762",,126,,N/A,N/A,N/A,,934,15,"2,59,958","31,296","83,06,436"
Chad,"7,698",,194,,"4,874",,"2,630",,442,11,"1,91,341","10,988","1,74,13,580"
British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"2,38,757","2,092","1,07,339","35,08,269","30,596"
Cook Islands,"7,062",,2,,"7,059",,1,,"4,01,912",114,"19,690","11,20,596","17,571"
Saint Kitts and Nevis,"6,598",,48,,"6,550",,0,,"1,22,478",891,"1,26,939","23,56,351","53,871"
Sao Tome and Principe,"6,568",,80,,"6,482",,6,,"28,848",351,"29,036","1,27,530","2,27,679"
Turks and Caicos,"6,565",,38,,"6,509",,18,4,"1,65,195",956,"6,12,335","1,54,08,143","39,741"
Palau,"5,999",,9,,"5,990",,0,,"3,29,019",494,"69,574","38,15,828","18,233"
St. Barth,"5,485",,6,,N/A,N/A,N/A,,"5,51,533",603,"78,646","79,08,095","9,945"
Nauru,"5,393",,1,,"5,347",,45,,"4,94,635",92,"20,509","18,81,042","10,903"
Kiribati,"5,025",,24,,"2,703",,"2,298",3,"40,715",194,,,"1,23,419"
Anguilla,"3,904",,12,,"3,879",,13,4,"2,56,336",788,"51,382","33,73,736","15,230"
Macao,"3,520",,121,,"3,396",,3,,"5,273",181,"7,850","11,760","6,67,490"
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"5,99,410",347,"25,400","44,10,488","5,759"
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"3,12,056",637,"20,508","18,67,419","10,982"
Tuvalu,"2,805",,,,,,"2,805",,"2,32,471",,,,"12,066"
Saint Helena,"2,166",,,,2,,"2,164",,"3,54,211",,,,"6,115"
Falkland Islands,"1,930",,,,"1,930",,0,,"5,45,352",,"8,632","24,39,107","3,539"
Montserrat,"1,403",,8,,"1,376",,19,,"2,82,578","1,611","17,762","35,77,442","4,965"
Niue,801,,,,801,,0,,"4,93,835",,,,"1,622"
Diamond Princess,712,,13,,699,,0,,,,,,
Vatican City,29,,,,29,,0,,"36,295",,,,799
Western Sahara,10,,1,,9,,0,,16,2,,,"6,26,161"
MS Zaandam,9,,2,,7,,0,,,,,,
Tokelau,5,,,,,,5,,"3,628",,,,"1,378"
Total:,"68,70,21,745","14,511","68,63,517",3,"65,95,52,126","20,724","2,06,06,102","39,292","88,138.50",880.5,,,
